"Active_location","avg_ToSun","avg_ToShade","avg_Tsurface_open","avg_radiation","mean_DF","sd_DF","DF.CI.25","DF.CI97.5","mean_DE","sd_DE","DE.CI.25","DE.CI97.5","n_hours","Round_percentage","season","habitat_loss","climate_change"
"Rock-Small",28.9995911546302,26.2382892942578,24.24,276.352592592593,-2.68997366398938,0.227286347422936,-2.91641686765966,-2.33516635637449,2.68997366398938,0.227286347422936,2.33516635637449,2.91641686765966,9,0.0161290322580645,"Winter","Bush",3.5
"burrow",21.8962074410166,21.6883250081895,17.4063912559176,209.115874408243,NA,NA,NA,NA,NA,NA,NA,NA,399,0.71505376344086,"Winter","none",4
"Bush-Large",33.1489947550156,26.6292961373274,25.9455,676.027633333333,-1.35819730235917,1.09586380266912,-2.86010645886738,0.640008354255299,1.4879835475729,0.903399626254737,0.0681778300519007,2.86010645886738,25,0.0448028673835125,"Winter","none",4
"Bush-Small",34.7591512890522,27.5183852190733,27.936975308642,622.323312757202,-0.801739614290322,0.846239030003575,-2.35712573483852,0.624296012635878,0.965425449556193,0.644775329868112,0.144842269380071,2.35712573483852,27,0.0483870967741935,"Winter","none",4
"open",31.045983404188,25.6531845220494,24.5743083900227,545.95862244898,-0.65401659581205,1.39273955207184,-2.79647259322147,1.85435259165676,1.30550700646323,0.806195811897629,0.119451242198404,2.79647259322147,98,0.175627240143369,"Winter","none",4
"Rock-Small",27.6001802739164,26.8959581284211,23.1659259259259,180.595,-2.28188720056097,0.350049742393702,-2.80023380143118,-1.83486874989561,2.28188720056097,0.350049742393702,1.83486874989561,2.80023380143118,9,0.0161290322580645,"Winter","none",4
"burrow",21.9587789102331,21.9083220138636,17.4364570957096,207.44620049505,NA,NA,NA,NA,NA,NA,NA,NA,404,0.724014336917563,"Winter","Rock",4
"Bush-Large",33.1489947550156,28.0835325075733,25.7169333333333,670.951733333333,-1.35819730235917,1.09586380266912,-2.86010645886738,0.640008354255299,1.4879835475729,0.903399626254737,0.0681778300519007,2.86010645886738,25,0.0448028673835125,"Winter","Rock",4
"Bush-Small",34.2715966282027,28.9116822401801,27.6785057471264,599.395459770115,-0.93323731631851,0.952554779888306,-2.67127040144869,0.570116967254548,1.08563447329018,0.767269223878051,0.152976944898511,2.67127040144869,29,0.0519713261648745,"Winter","Rock",4
"open",31.0076886789365,26.8171237365348,24.548,545.872883333333,-0.692311321063494,1.40547233310093,-2.85472030829092,1.84106927853667,1.33077192350165,0.818930077560218,0.120695530946202,2.85472030829092,100,0.17921146953405,"Winter","Rock",4
"burrow",22.2988543412734,21.6535158854961,17.761546677428,226.700182943234,NA,NA,NA,NA,NA,NA,NA,NA,413,0.740143369175627,"Winter","Bush",4
